,date,date.1,city,co,pm2.5,Lat,Long
111,2014-5,5,Kuala Lumpur,318.0,3848.0,3.139003,101.686855
112,2014-5,5,Lima,93.0,1426.0,-12.07054,-77.04322
113,2014-5,5,Linyi,702.0,5666.0,35.104672,118.356448
114,2014-5,5,Nagoya,122.0,2429.0,35.1814464,136.906398
115,2014-5,5,Nanyang,310.0,3038.0,32.990833,112.528322
116,2014-5,5,New York,31.0,1111.0,40.7127837,-74.0059413
117,2014-5,5,Paris,142.0,1885.0,48.856614,2.3522219
118,2014-5,5,Seoul,178.0,992.0,37.566535,126.9779692
119,2014-5,5,Shanghai,176.0,4226.0,31.2047372,121.4489017
120,2014-5,5,Shijiazhuang,292.0,5379.0,38.042307,114.51486
121,2014-5,5,Tianjin,456.0,4673.0,39.084158,117.200983
122,2014-5,5,Tokyo,310.0,2086.0,35.6414629,139.6981712
123,2014-5,5,Weifang,298.0,4659.0,36.706774,119.161756
124,2014-5,5,Zhengzhou,514.0,4881.0,34.7466,113.625368
125,2014-6,6,Bangalore,113.0,1620.0,12.938539,77.5901
126,2014-6,6,Baoding,583.0,5711.0,38.873891,115.464806
127,2014-6,6,Beijing,218.0,3820.0,39.954592,116.468117
128,2014-6,6,Changsha,357.0,4663.0,28.228209,112.938814
129,2014-6,6,Chengdu,261.0,4282.0,30.6250145,104.0670559
130,2014-6,6,Chongqing,341.0,3505.0,29.56301,106.551557
131,2014-6,6,Dongguan,244.0,2945.0,23.020536,113.751765
132,2014-6,6,Guangzhou,247.0,3777.0,23.141191,113.258374
133,2014-6,6,Handan,360.0,5286.0,36.625604,114.539085
134,2014-6,6,Jinan,355.0,5369.0,36.650997,117.120497
135,2014-6,6,Jining,323.0,5467.0,35.414921,116.587099
136,2014-6,6,Kuala Lumpur,258.0,3791.0,3.139003,101.686855
137,2014-6,6,Lima,90.0,1380.0,-12.07054,-77.04322
138,2014-6,6,Linyi,644.0,5742.0,35.104672,118.356448
139,2014-6,6,Moscow,1275.0,137.0,55.759354,37.595584
140,2014-6,6,Nagoya,120.0,2615.0,35.1814464,136.906398
141,2014-6,6,Nanyang,300.0,2940.0,32.990833,112.528322
142,2014-6,6,New York,30.0,1050.0,40.7127837,-74.0059413
143,2014-6,6,Paris,141.0,1980.0,48.856614,2.3522219
144,2014-6,6,Seoul,136.0,960.0,37.566535,126.9779692
145,2014-6,6,Shanghai,172.0,3280.0,31.2047372,121.4489017
146,2014-6,6,Shijiazhuang,366.0,5660.0,38.042307,114.51486
147,2014-6,6,Tianjin,515.0,4060.0,39.084158,117.200983
148,2014-6,6,Tokyo,300.0,2108.0,35.6414629,139.6981712
149,2014-6,6,Weifang,247.0,4431.0,36.706774,119.161756
150,2014-6,6,Zhengzhou,447.0,4759.0,34.7466,113.625368
151,2014-7,7,Bangalore,89.0,1674.0,12.938539,77.5901
152,2014-7,7,Baoding,588.0,5873.0,38.873891,115.464806
153,2014-7,7,Beijing,272.0,4613.0,39.954592,116.468117
154,2014-7,7,Changsha,414.0,4048.0,28.228209,112.938814
155,2014-7,7,Chengdu,256.0,3738.0,30.6250145,104.0670559
156,2014-7,7,Chongqing,275.0,3249.0,29.56301,106.551557
157,2014-7,7,Dongguan,251.0,3019.0,23.020536,113.751765
158,2014-7,7,Guangzhou,226.0,2236.0,23.141191,113.258374
159,2014-7,7,Handan,384.0,5744.0,36.625604,114.539085
160,2014-7,7,Jinan,312.0,5260.0,36.650997,117.120497
161,2014-7,7,Jining,378.0,4993.0,35.414921,116.587099
162,2014-7,7,Kuala Lumpur,459.0,3157.0,3.139003,101.686855
163,2014-7,7,Lima,93.0,1426.0,-12.07054,-77.04322
164,2014-7,7,Linyi,699.0,4939.0,35.104672,118.356448
165,2014-7,7,Moscow,2325.0,653.0,55.759354,37.595584
166,2014-7,7,Nagoya,116.0,2716.0,35.1814464,136.906398
167,2014-7,7,Nanyang,310.0,3038.0,32.990833,112.528322
168,2014-7,7,New York,31.0,1201.0,40.7127837,-74.0059413
169,2014-7,7,Paris,162.0,2167.0,48.856614,2.3522219
170,2014-7,7,Seoul,152.0,992.0,37.566535,126.9779692
171,2014-7,7,Shanghai,182.0,2948.0,31.2047372,121.4489017
172,2014-7,7,Shijiazhuang,351.0,5703.0,38.042307,114.51486
173,2014-7,7,Tianjin,479.0,4703.0,39.084158,117.200983
174,2014-7,7,Tokyo,310.0,2106.0,35.6414629,139.6981712
175,2014-7,7,Weifang,278.0,4601.0,36.706774,119.161756
176,2014-7,7,Zhengzhou,368.0,4226.0,34.7466,113.625368
177,2014-8,8,Bangalore,24.0,1674.0,12.938539,77.5901
178,2014-8,8,Baoding,423.0,5683.0,38.873891,115.464806
179,2014-8,8,Beijing,244.0,4030.0,39.954592,116.468117
180,2014-8,8,Changsha,317.0,4245.0,28.228209,112.938814
181,2014-8,8,Chengdu,263.0,4121.0,30.6250145,104.0670559
182,2014-8,8,Chongqing,287.0,3417.0,29.56301,106.551557
183,2014-8,8,Dongguan,248.0,2941.0,23.020536,113.751765
184,2014-8,8,Guangzhou,223.0,2465.0,23.141191,113.258374
185,2014-8,8,Handan,447.0,5593.0,36.625604,114.539085
186,2014-8,8,Jinan,345.0,5490.0,36.650997,117.120497
187,2014-8,8,Jining,405.0,5358.0,35.414921,116.587099
188,2014-8,8,Kuala Lumpur,258.0,3673.0,3.139003,101.686855
189,2014-8,8,Lima,93.0,1426.0,-12.07054,-77.04322
190,2014-8,8,Linyi,660.0,4706.0,35.104672,118.356448
191,2014-8,8,Moscow,2325.0,979.0,55.759354,37.595584
192,2014-8,8,Nagoya,95.0,2094.0,35.1814464,136.906398
193,2014-8,8,Nanyang,439.0,3950.0,32.990833,112.528322
194,2014-8,8,New York,31.0,1148.0,40.7127837,-74.0059413
195,2014-8,8,Paris,124.0,1793.0,48.856614,2.3522219
196,2014-8,8,Seoul,152.0,2038.0,37.566535,126.9779692
197,2014-8,8,Shanghai,198.0,2618.0,31.2047372,121.4489017
198,2014-8,8,Shijiazhuang,312.0,5186.0,38.042307,114.51486
199,2014-8,8,Tianjin,411.0,4138.0,39.084158,117.200983
200,2014-8,8,Tokyo,310.0,1750.0,35.6414629,139.6981712
201,2014-8,8,Weifang,235.0,4458.0,36.706774,119.161756
